rowlabel,sex,age,yrsarea,genhealt,cry2,relig3,tenure1,hominsur,persinc,inner,rural3,rubbcomm,vandcomm,livharm1a,tenharm,struct3,ethgrp2a,illONS,educat3,remploya,threviol2,walkdark,emdiqu15x,polatt7,confx
174230080,1,35,2,2,7,3,2,1,13,0,2,3,4,1,1,2,5,1,4,1,2,2,2,2,0.034567274
174292080,1,66,3,2,1,1,1,1,12,0,1,4,4,3,1,4,1,1,3,3,2,1,3,2,-0.151178542
174295080,1,20,7,1,1,1,5,1,4,0,2,3,4,3,3,1,1,1,3,1,2,1,1,3,-0.897618308
174390080,2,26,5,1,1,1,4,2,5,1,2,3,4,2,3,2,1,1,2,1,2,3,1,1,0.755415122
174400240,2,45,5,1,1,3,2,1,10,1,2,3,4,3,1,1,1,2,4,1,2,2,2,1,1.222206868
174413160,1,27,7,2,1,2,4,2,8,0,1,3,4,1,3,2,1,1,4,1,2,1,5,4,-1.045147379
174417240,1,63,7,2,1,2,1,1,3,0,1,4,4,1,1,4,1,1,4,3,2,1,4,2,0.466244647
174419160,2,61,5,2,1,2,2,1,11,0,1,3,4,1,1,1,1,3,4,1,2,1,4,1,1.665469564
174421240,1,42,7,3,1,1,2,1,4,0,2,4,4,3,1,1,5,1,3,1,2,1,2,2,0.034567274
174433080,2,49,2,3,1,2,2,1,11,0,2,4,4,1,1,2,1,3,4,1,2,3,4,2,0.066739823
174440240,2,49,6,3,7,2,2,1,11,0,2,3,4,1,1,1,1,3,4,1,2,2,3,1,0.816121413
174441080,2,36,5,1,7,2,4,2,8,0,2,4,4,1,3,2,1,1,5,1,2,4,3,2,-0.84453215
174446160,1,48,6,1,1,2,2,1,10,0,2,2,3,1,1,1,1,1,3,1,2,2,2,1,-0.163282818
174480240,2,52,3,1,1,1,2,1,14,0,1,4,4,1,1,2,1,1,1,1,2,2,2,1,1.447551199
174481080,2,25,7,2,1,1,4,1,9,0,2,4,4,2,3,1,1,1,4,1,2,2,4,4,-1.792626649
174488160,1,66,7,2,1,1,1,1,14,0,2,4,4,1,1,4,1,1,4,3,2,1,5,1,0.765782912
174515240,1,38,5,1,7,2,4,1,8,1,2,2,3,1,2,2,1,1,4,1,2,1,2,2,-0.208943009
174522160,1,27,7,1,1,6,4,2,11,0,2,1,3,3,3,1,3,1,4,1,2,1,2,2,-0.266707477
174524160,2,25,5,1,1,1,4,1,8,0,2,2,3,2,3,1,1,1,4,1,2,3,2,2,0.959845844
174526240,1,59,7,2,1,2,1,1,11,0,2,3,4,2,1,1,1,1,3,3,2,2,1,2,-0.364937551
174535160,2,32,4,3,1,1,4,1,14,1,2,2,3,2,3,1,1,3,2,1,1,2,1,2,0.066739823
174537080,2,35,6,2,1,2,4,1,4,1,2,2,3,2,3,2,1,1,2,1,2,2,1,1,1.665469564
174538240,1,25,5,4,1,1,4,2,11,0,2,3,4,2,3,2,1,3,4,1,2,3,1,2,0.266492235
174541320,2,73,6,2,1,2,1,1,7,0,2,3,4,1,1,4,1,1,3,3,2,3,3,2,0.066739823
174542160,1,76,2,4,1,2,4,1,2,0,2,4,3,5,2,4,1,3,1,3,2,1,2,1,0.511904838
174542240,2,45,7,3,1,1,2,2,8,0,2,4,4,2,1,1,1,1,4,1,2,2,3,2,0.266492235
174544320,1,54,7,2,1,1,2,1,3,0,2,3,3,3,1,1,1,1,3,1,2,2,4,2,0.4844106
174547160,1,57,7,1,1,2,4,1,7,0,2,3,3,1,2,2,1,1,5,1,2,2,2,2,0.266492235
174547240,2,33,2,1,7,2,2,1,8,0,2,4,4,1,1,2,1,1,3,3,2,2,4,2,0.266492235
